id,EPA_ID,Site_Name,City,State,County,Non-NPL_Status_Code,Non-NPL_Status_Date,NPL_Status_Code,x,y
1,NED981713837,10TH STREET SITE,COLUMBUS,NE,PLATTE,[Blank Code],[Blank Date],F,-97.35939,41.430297
2,KSD007241656,29TH & MEAD GROUND WATER CONTAMINATION,WICHITA,KS,SEDGWICK,SD,01/01/1996,D,-97.336111,37.688889
3,KSD981710247,57TH AND NORTH BROADWAY STREETS SITE,WICHITA,KS,SEDGWICK,[Blank Code],[Blank Date],F,-97.336111,37.688889
4,MDD980918387,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,ROSEDALE,MD,BALTIMORE CITY,SA,04/30/2003,P,-76.515519,39.320107
5,UTD981548985,700 SOUTH 1600 EAST PCE PLUME,SALT LAKE CITY,UT,SALT LAKE,[Blank Code],[Blank Date],F,-111.891047,40.760779
6,ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,IL,CUMBERLAND,[Blank Code],[Blank Date],D,-88.163372,39.247816
7,NJD030253355,A. O. POLYMER,SPARTA TOWNSHIP,NJ,SUSSEX,[Blank Code],[Blank Date],F,-74.636359,41.033456
8,PAD004351003,A.I.W. FRANK/MID-COUNTY MUSTANG,EXTON,PA,CHESTER,[Blank Code],[Blank Date],F,-75.627458,40.032582
9,KYD980500961,A.L. TAYLOR (VALLEY OF DRUMS),BROOKS,KY,BULLITT,[Blank Code],[Blank Date],D,-85.710249,38.062395
10,NCD024644494,ABC ONE HOUR CLEANERS,JACKSONVILLE,NC,ONSLOW,[Blank Code],[Blank Date],F,-77.430241,34.754052
11,NCN000407447,ABERDEEN CONTAMINATED GROUND WATER,Aberdeen,NC,MOORE,[Blank Code],[Blank Date],F,-79.429479,35.131547
12,NCD980843346,ABERDEEN PESTICIDE DUMPS,ABERDEEN,NC,MOORE,[Blank Code],[Blank Date],F,-79.429479,35.131547
13,MD2210020036,ABERDEEN PROVING GROUND (EDGEWOOD AREA),EDGEWOOD,MD,HARFORD,[Blank Code],[Blank Date],F,-76.294402,39.418719
14,MD3210021355,ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL),ABERDEEN,MD,HARFORD,[Blank Code],[Blank Date],F,-76.16412,39.509556
15,VAD980551683,ABEX CORP.,PORTSMOUTH,VA,PORTSMOUTH CITY,[Blank Code],[Blank Date],F,-76.298274,36.835426
16,KSD046746731,ACE SERVICES,COLBY,KS,THOMAS,[Blank Code],[Blank Date],F,-101.052377,39.395837
17,MTD093291599,ACM SMELTER AND REFINERY,BLACK EAGLE,MT,CASCADE,[Blank Code],[Blank Date],F,-111.278307,47.52468
18,ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,IL,WINNEBAGO,[Blank Code],[Blank Date],F,-90.298735,41.396424
19,NYD072366453,"ACTION ANODIZING, PLATING, & POLISHING CORP.",COPIAGUE,NY,SUFFOLK,[Blank Code],[Blank Date],D,-73.399844,40.681489
20,AK4170024323,ADAK NAVAL AIR STATION,ADAK,AK,ALEUTIANS WEST CENSUS ARE,[Blank Code],[Blank Date],F,-176.658056,51.88
21,MID006522791,ADAM'S PLATING,LANSING,MI,INGHAM,[Blank Code],[Blank Date],F,-84.555535,42.732535
22,ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,IL,ADAMS,[Blank Code],[Blank Date],F,-91.409873,39.935602
23,MND980904023,ADRIAN MUNICIPAL WELL FIELD,ADRIAN,MN,NOBLES,[Blank Code],[Blank Date],D,-95.932797,43.634966
24,CAD048634059,"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,SANTA CLARA,[Blank Code],[Blank Date],F,-122.03635,37.36883
25,CAT080034234,"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",SUNNYVALE,CA,SANTA CLARA,[Blank Code],[Blank Date],F,-122.03635,37.36883
26,CAD980358832,AEROJET GENERAL CORP.,RANCHO CORDOVA,CA,SACRAMENTO,[Blank Code],[Blank Date],F,-121.302728,38.589072
27,MND980898068,AGATE LAKE SCRAPYARD,FAIRVIEW TOWNSHIP,MN,CASS,[Blank Code],[Blank Date],D,-94.438056,46.411095
28,FLD980221857,AGRICO CHEMICAL CO.,PENSACOLA,FL,ESCAMBIA,[Blank Code],[Blank Date],F,-87.216915,30.421309
29,LAD981056997,AGRICULTURE STREET LANDFILL,NEW ORLEANS,LA,ORLEANS PARISH,[Blank Code],[Blank Date],F,-90.071532,29.951066
30,IAD042581256,AIDEX CORP.,MINEOLA,IA,MILLS,[Blank Code],[Blank Date],D,-95.695755,41.143216
31,TX7572024605,AIR FORCE PLANT #4 (GENERAL DYNAMICS),FORT WORTH,TX,TARRANT,[Blank Code],[Blank Date],F,-97.330766,32.755488
32,OH1170090004,AIR FORCE PLANT 85,COLUMBUS,OH,FRANKLIN,[Blank Code],[Blank Date],P,-82.998794,39.961176
33,CO7570090038,AIR FORCE PLANT PJKS,LITTLETON,CO,JEFFERSON,[Blank Code],[Blank Date],F,-105.01665,39.613321
34,KYD041981010,AIRCO,CALVERT CITY,KY,MARSHALL,[Blank Code],[Blank Date],F,-88.350036,37.03339
35,FLD004145140,AIRCO PLATING CO.,MIAMI,FL,MIAMI-DADE,[Blank Code],[Blank Date],F,-80.19179,25.76168
36,MI0001119106,AIRCRAFT COMPONENTS (D & L SALES),BENTON HARBOR,MI,BERRIEN,[Blank Code],[Blank Date],F,-86.454189,42.116707
37,AL6210020008,ALABAMA ARMY AMMUNITION PLANT,CHILDERSBURG,AL,TALLADEGA,[Blank Code],[Blank Date],F,-86.354977,33.278169
38,ALD004022448,"ALABAMA PLATING COMPANY, INC.",VINCENT,AL,SHELBY,[Blank Code],[Blank Date],F,-86.411924,33.384554
39,PAD075993378,ALADDIN PLATING,SCOTT TOWNSHIP,PA,LACKAWANNA,[Blank Code],[Blank Date],D,-80.078636,40.388053
40,CA2170023236,ALAMEDA NAVAL AIR STATION,ALAMEDA,CA,ALAMEDA,[Blank Code],[Blank Date],F,-122.241636,37.765207
41,TNN000410203,ALAMO CONTAMINATED GROUND WATER,ALAMO,TN,CROCKETT,[Blank Code],[Blank Date],F,-89.117288,35.784795
42,FLD012978862,ALARIC AREA GW PLUME,TAMPA,FL,HILLSBOROUGH,[Blank Code],[Blank Date],F,-82.457178,27.950575
43,CAD098229214,ALARK HARD CHROME,RIVERSIDE,CA,RIVERSIDE,[Blank Code],[Blank Date],F,-117.396156,33.953349
44,AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,AK,FAIRBANKS NORTH STAR,[Blank Code],[Blank Date],D,-147.716389,64.837778
45,MID980504450,ALBION-SHERIDAN TOWNSHIP LANDFILL,ALBION,MI,CALHOUN,[Blank Code],[Blank Date],F,-84.75303,42.243097
46,TXD008123168,ALCOA (POINT COMFORT)/LAVACA BAY,POINT COMFORT,TX,CALHOUN,[Blank Code],[Blank Date],F,-96.560254,28.679717
